risk_id,category,risk,impact,likelihood,inherent_rating,preventive_controls,detective_controls,response_owner,treatment,status,target_date,residual_target,stop_condition
RK016,AI,Document extraction creates a false public event,"Incorrect history and value harm",High,High,"AI output is draft; evidence retained; human/authority validation","Confidence and reviewer audits; dispute monitoring",,Suppress event correct model/workflow,Open,,Low,Yes
RK017,Cross-border,Foreign source rights or privacy terms are applied to wrong country,"Unlawful display; misleading coverage",Medium,High,"Country adapters; territorial entitlements; no fallback","Country/source coverage tests and field-policy logs",,Disable source in affected territory,Open,,Low,Yes
RK018,Commercial,Partner per-query cost destroys report margin,"Unsustainable product",Medium,Medium,"Cost model; preview; quotas; source-specific pricing","COGS dashboard and margin alert",,Reprice/bundle/change source without degrading truth,Open,,Low,No
RK019,Vendor,Source changes schema or withdraws data without notice,"Broken reports; incorrect mapping",Medium,High,"Versioned adapters; change notice; contract; fail closed","Schema validation; anomaly; source freshness",,Disable affected fields show unavailable remediate,Open,,Low,Yes
RK020,Legal,Overbroad future guarantee creates uninsurable liability,"Severe financial loss",Medium,Critical,"No MVP buyback promise; narrow terms; underwriting; reserves","Claims/legal review and exposure reporting",,Suspend guarantee and handle claims per terms,Open,,Low,Yes
RK021,Fraud,Report PDF/screenshot is altered or reused,"Buyer deception",High,High,"Hash/QR validation; watermark; expiry; immutable snapshot","Validation mismatch and unusual download monitoring",,Warn buyer mark invalid investigate account,Open,,Low,No
RK022,Privacy,Exact recent shop/time reveals vehicle location,"Stalking and personal safety",Medium,Critical,"Generalize date/location; hide recent locations; purpose controls","Privacy review and access anomaly monitoring",,Suppress affected events and reassess display rules,Open,,Low,Yes
RK023,Legal,Government partnership stalls for more than 12 months,"Delayed official status product",High,Medium,"Independent 365-owned MVP; private partnerships; staged roadmap","Milestone/partner tracker review",,Continue shop/parts/scan value and revisit with pilot evidence,Open,,Low,No
RK024,Reputation,Public calls product a CARFAX copy or complete database,"Weak differentiation; legal/trust risk",Medium,Medium,"Distinct positioning; installed-part lifecycle; limitations","Media/copy review",,Correct wording and publish factual comparison,Open,,Low,No
RK025,Security,Malicious evidence file compromises reviewer or leaks metadata,"System compromise; privacy harm",Medium,High,"Isolated upload; malware scan; quarantine; redacted derivatives","Scan alerts; sandbox logs",,Quarantine revoke access incident review,Open,,Low,Yes
