priority,wave,organization,region,partner_type,target_roles,requested_capability,value_to_partner,access_form,status,internal_owner,next_action,target_date,official_contact,dependencies,notes
17,2,OBD Solutions / OBDLink,Global/Philippines,Diagnostics,"Developer/business; channel; security","OBDLink device bundle and documented integration","Hardware sales and RO-linked workflow",SDK/documented protocol and commercial bundle,Researching,,Request volume/business integration meeting,,,Scan Companion prototype,"Generic OBD limits clearly disclosed"
18,2,Repairify / BlueDriver,Global,Diagnostics/history,"Business development; API/data partnership","BlueDriver/report integration rights","Philippine distribution and Shop Manager linkage",Negotiated SDK/API/report feed,Not contacted,,Ask whether public business integration exists,,,Partner RFI,"Do not depend on closed retail app"
19,2,Commercial truck diagnostic provider,Global/Philippines,Diagnostics,"Regional business; developer/integration; security","RP1210/J1939 or approved report integration","Heavy Truck module and fleet channel",SDK/API/report export partnership,Researching,,Evaluate PEAK/Vector/Jaltest/TEXA/NEXIQ paths separately,,,Heavy Truck domain,"24V proper hardware required"
20,3,Korea Insurance Development Institute CarHistory,South Korea,Origin history,"International/business/data licensing","Insurance accident flood mileage ownership/export history","Philippine import buyer distribution",Authorized referral API or report integration,Not contacted,,Request export-market rights and sample coverage,,https://www.carhistory.kr/,Country adapter and licence,"Uninsured/unreported events may be absent"
21,3,Japan auction/odometer provider A,Japan,Origin history,"Commercial data licensing; API","Chassis-based auction sheet mileage condition photos","Philippine importer/exporter report channel",Licensed API/report feed,Researching,,Test exact chassis coverage and display rights,,,Japan country adapter,"No scraping; translation limitations"
22,3,Japan auction/odometer provider B,Japan,Origin history,"Commercial licensing","Independent comparison/coverage","Philippine report distribution",Licensed API/report feed,Researching,,Run same acceptance fleet and RFI,,,Japan country adapter,"Keep sources separately attributed"
23,3,Singapore Land Transport Authority, Singapore,Government/digital services,"Digital services; partner/legal/privacy","Owner-authorized ownership inspection and transaction history","Cross-border transparency",Owner-authenticated redirect or approved partner service,Researching,,Confirm official partner availability,,https://onemotoring.lta.gov.sg/,Singapore legal/source review,"Login data is not automatically reusable"
24,3,Bureau of Customs,Philippines,Customs/import,"Vehicle import/export; ICT; legal; DPO","Import/export clearance identity and status","Registration/import fraud reduction and export passport",Government agreement/status verification,Future,,Approach after LTO pilot structure,,,LTO pilot and counsel,"Request status not confidential importer data"
25,3,Bank/lender/fleet pilot,Philippines,Enterprise,"Collateral; risk; fleet maintenance; privacy/security","Consent/contract-based identity maintenance encumbrance or custody events","Valuation; collateral/fleet condition; maintenance compliance",Purpose-limited API/enterprise report,Future,,Select after consumer pilot controls pass,,,Enterprise purpose policy,"No location tracking or unrelated profiling"
26,3,Auction/import/export pilot,Philippines,Commerce,"Operations; condition; data/API; legal","Listing condition mileage photos custody shipment events","Verified listings and export conversion",Licensed feed/native workflow,Future,,Choose one Philippine operator,,,Marketplace/Export integration,"Preserve source and document rights"
